experiment,step,train_loss,val_loss
ffn,3350,2.3175,2.3149
ffn,3400,2.3038,2.3061
ffn,3450,2.2993,2.3185
ffn,3500,2.295,2.3194
ffn,3550,2.2984,2.3101
ffn,3600,2.2952,2.3061
ffn,3650,2.2988,2.2939
ffn,3700,2.2885,2.3037
ffn,3750,2.2974,2.2998
ffn,3800,2.2922,2.2989
ffn,3850,2.2815,2.3059
ffn,3900,2.2837,2.3028
ffn,3950,2.2798,2.2976
ffn,4000,2.3011,2.2937
ffn,4050,2.2826,2.2999
ffn,4100,2.2769,2.2991
ffn,4150,2.2726,2.2938
ffn,4200,2.276,2.2889
ffn,4250,2.2692,2.2965
ffn,4300,2.2665,2.3007
ffn,4350,2.2731,2.2979
ffn,4400,2.2605,2.2954
ffn,4450,2.2696,2.278
ffn,4500,2.2547,2.2749
ffn,4550,2.2552,2.2877
ffn,4600,2.2628,2.2781
ffn,4650,2.2668,2.2719
ffn,4700,2.2549,2.272
ffn,4750,2.2565,2.2831
ffn,4800,2.2615,2.2647
ffn,4850,2.2578,2.2793
ffn,4900,2.2421,2.2679
ffn,4950,2.2519,2.2793
prelayernorm,0,4.4087,4.3946
prelayernorm,50,3.1852,3.2279
prelayernorm,100,2.9076,2.9264
prelayernorm,150,2.7253,2.7275
prelayernorm,200,2.6123,2.6207
prelayernorm,250,2.5512,2.5683
prelayernorm,300,2.4897,2.4974
prelayernorm,350,2.4643,2.4732
prelayernorm,400,2.4404,2.4399
prelayernorm,450,2.4105,2.425
prelayernorm,500,2.3975,2.4212
prelayernorm,550,2.3737,2.3746
prelayernorm,600,2.3564,2.3634
prelayernorm,650,2.3492,2.3643
prelayernorm,700,2.3182,2.3419
prelayernorm,750,2.3136,2.3308
prelayernorm,800,2.3049,2.3186
prelayernorm,850,2.3023,2.3112
prelayernorm,900,2.2926,2.2882
prelayernorm,950,2.2715,2.294
prelayernorm,1000,2.2723,2.2811
prelayernorm,1050,2.2386,2.2719
prelayernorm,1100,2.2571,2.2732
prelayernorm,1150,2.2355,2.2554
prelayernorm,1200,2.2238,2.2556
prelayernorm,1250,2.2228,2.2477
prelayernorm,1300,2.2219,2.2289
prelayernorm,1350,2.2006,2.227
prelayernorm,1400,2.1932,2.2255
prelayernorm,1450,2.2051,2.2249
prelayernorm,1500,2.1895,2.2235
prelayernorm,1550,2.1684,2.2086
prelayernorm,1600,2.1868,2.2103
prelayernorm,1650,2.1833,2.1972
prelayernorm,1700,2.1675,2.1972
prelayernorm,1750,2.1506,2.1883
prelayernorm,1800,2.1571,2.1905
prelayernorm,1850,2.1575,2.2013
prelayernorm,1900,2.1472,2.1818
prelayernorm,1950,2.1465,2.1834
prelayernorm,2000,2.1384,2.1809
prelayernorm,2050,2.1276,2.183
prelayernorm,2100,2.1239,2.1743
prelayernorm,2150,2.1289,2.1768
prelayernorm,2200,2.1451,2.1759
prelayernorm,2250,2.1134,2.1465
prelayernorm,2300,2.1018,2.1577
prelayernorm,2350,2.0981,2.1564
prelayernorm,2400,2.0881,2.1596
prelayernorm,2450,2.1011,2.1367
prelayernorm,2500,2.0883,2.1516
prelayernorm,2550,2.0892,2.1523
prelayernorm,2600,2.0758,2.1421
prelayernorm,2650,2.1031,2.1464
prelayernorm,2700,2.0784,2.1256
prelayernorm,2750,2.0797,2.1273
prelayernorm,2800,2.079,2.1351
prelayernorm,2850,2.0639,2.1236
prelayernorm,2900,2.0617,2.1081
prelayernorm,2950,2.086,2.1429
prelayernorm,3000,2.0671,2.1227
prelayernorm,3050,2.0596,2.123
prelayernorm,3100,2.0574,2.1264
prelayernorm,3150,2.0626,2.1181
prelayernorm,3200,2.0657,2.1143
prelayernorm,3250,2.0609,2.1016
prelayernorm,3300,2.046,2.1142
prelayernorm,3350,2.0417,2.1197
prelayernorm,3400,2.0456,2.0996
prelayernorm,3450,2.0362,2.0993
prelayernorm,3500,2.0359,2.0943
prelayernorm,3550,2.0372,2.1031
prelayernorm,3600,2.0309,2.0982
prelayernorm,3650,2.0333,2.1056
prelayernorm,3700,2.033,2.1143
prelayernorm,3750,2.0356,2.1092
